"UNIQUE_SYSTEM_IDENTIFIER","ORGANIZATION_NAME","CHARGE_PROFILE","IDENTITY_STATUS","TRUST_LEVEL","INITIATING_MSISDN","RECEIVING_MSISDN","RECEIPT_NUMBER","DATE_TIMESTAMP","TRANSACTION_STATUS","TRANSACTION_TYPE","REASON_TYPE","TOTAL_AMOUNT_AOA","CHARGE_AMOUNT_AOA","COMMISSION_AMOUNT","SERVICE_ALIAS"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P090S3","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P096OH","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0BG48","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",75,1.71,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P0BKAM","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0BXTG","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",3000,68.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0BU7J","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP3P0BD7H","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP4P0CSLS","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP3P0741B","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP8P077TA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP5P079VD","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1500,34.2,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0752G","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP3P075TH","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",700,15.96,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP8P078US","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P07AIA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",458,10.44,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP2P076OK","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0782W","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",20000,456,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P0E87Q","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP2P0GIDA","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP2P0E4ZO","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",700,15.96,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0EOZC","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP9P0F8ZB","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",500,11.4,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP1P0GOYR","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",200,4.56,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP6P0GPWI","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1300,29.64,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP0P0GRQG","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP4P0GUIK","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",100,2.28,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP1P0GSW5","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",1000,22.8,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP7P0AN9F","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5000,114,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP0P09W7W","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",300,6.84,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP8P09R48","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",5000,114,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP4P09SA2","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",4500,102.6,"0","Individual B2C Payment"
"201000000000102241","BANTUBET","BET Charge Profile","Active","Top Organization Level 1","BANTUBET","70200","BBP8P08UZK","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",2500,57,"0","Individual B2C Payment"
"201000000000094689","PREMIERBET","BET Charge Profile","Active","Top Organization Level 1","PREMIERBET","00001209","BBP6P08EFY","20240225","Completed","Individual B2C Payment","Individual B2C Payment to Registered Customer",33000,752.4,"0","Individual B2C Payment"
