"TOTAL_AMOUNT_AOA","QTD_TRANSACTION","TRANSACTION_TYPE","STATUS","REASON_TYPE","DATA"
540812,2402,"Airtime Purchase","Cancelled","Customer Buy Airtime for Self","20240220"
586401,1916,"Airtime Purchase","Cancelled","Customer Buy Airtime for others","20240220"
6136,46,"Airtime Purchase","Cancelled","Customer Buy Airtime_others_IncentiveAccount","20240220"
15482,156,"Airtime Purchase","Cancelled","Customer Buy Airtime_self_IncentiveAccount","20240220"
2573347,10102,"Airtime Purchase","Cancelled","OTC Buy Airtime","20240220"
6115960,23391,"Airtime Purchase","Completed","Customer Buy Airtime for Self","20240220"
12832870,26797,"Airtime Purchase","Completed","Customer Buy Airtime for others","20240220"
93550,436,"Airtime Purchase","Completed","Customer Buy Airtime_others_IncentiveAccount","20240220"
110800,988,"Airtime Purchase","Completed","Customer Buy Airtime_self_IncentiveAccount","20240220"
81192360,299410,"Airtime Purchase","Completed","OTC Buy Airtime","20240220"
3461741,1712,"Airtime Purchase","Declined","Customer Buy Airtime for Self","20240220"
3586925,526,"Airtime Purchase","Declined","Customer Buy Airtime for others","20240220"
30300,74,"Airtime Purchase","Declined","Customer Buy Airtime_others_IncentiveAccount","20240220"
304212,302,"Airtime Purchase","Declined","Customer Buy Airtime_self_IncentiveAccount","20240220"
21950,21,"Airtime Purchase","Declined","OTC Buy Airtime","20240220"
7000,1,"Business to Business Transfer","Cancelled","Business Deposit with Different Hierarchy","20240220"
11040,2,"Business to Business Transfer","Cancelled","Business Withdrawal with Same Hierarchy","20240220"
94425115,1356,"Business to Business Transfer","Completed","Business Deposit with Different Hierarchy","20240220"
48396817,2587,"Business to Business Transfer","Completed","Business Deposit with Same Hierarchy","20240220"
208212,29,"Business to Business Transfer","Completed","Business Withdrawal with Same Hierarchy","20240220"
30484854,1088,"Business to Business Transfer","Completed","Organization Inter Account Transfer","20240220"
5870,3,"Business to Business Transfer","Completed","Organization Intra Account Transfer","20240220"
1614881,6,"Business to Business Transfer","Declined","Business Deposit with Different Hierarchy","20240220"
5592520,15,"Business to Business Transfer","Declined","Business Deposit with Same Hierarchy","20240220"
4300,6,"Cash In","Cancelled","Customer Deposit at ATM by Voucher with Confirmation","20240220"
10308529,9617,"Cash In","Completed","Customer Deposit at ATM by Voucher with Confirmation","20240220"
17378374,4413,"Cash In","Completed","Customer Deposit at Agent","20240220"
319490,6,"Cash In","Declined","Customer Deposit at Agent","20240220"
800,2,"Cash In","Expired","Customer Deposit at ATM by Voucher with Confirmation","20240220"
304000,12,"Cash Out","Cancelled","ATM Cash Out Voucher","20240220"
315000,11,"Cash Out","Cancelled","Unregistered Customer Withdraw at Agent by Voucher","20240220"
1241059,79,"Cash Out","Completed","Customer Withdraw at Agent","20240220"
55000,3,"Cash Out","Completed","Unregistered Customer Withdraw at Agent by Voucher","20240220"
4671350,214,"Cash Out","Completed","Withdraw at Agent for Customer","20240220"
1569180,55,"Cash Out","Declined","Withdraw at Agent for Customer","20240220"
5600670,7388,"Commission Payment","Completed","Aggregator Commission Payment","20240220"
2443924,783,"Commission Payment","Completed","Centrally Owned Commission Payment","20240220"
5600670,7388,"Commission Roll Down","Completed","Aggregator Commission Roll Down","20240220"
5600670,7388,"Commission Roll Up","Completed","Aggregator Commission Roll up","20240220"
33627186,1,"E-money Deposit","Completed","Organization Deposit of Funds","20240220"
710000,1,"E-money Withdrawal","Completed","Organization Withdrawal of Funds","20240220"
253799,51612,"Incentive Rule Cash Back","Completed","Boas-Festas Recargas 2023","20240220"
2000,4,"Incentive Rule Cash Back","Completed","Campanha Experimenta e Ganha 2023","20240220"
29686,97,"Incentive Rule Cash Back","Completed","Incentivo Clientes 2023","20240220"
6976849,1994,"Individual B2C Payment","Completed","Individual B2C Payment to Registered Customer","20240220"
2194,4,"Individual B2C Payment","Completed","Individual B2C Payment to Unregistered Customer","20240220"
25000,1,"Individual B2C Payment","Declined","Individual B2C Payment to Registered Customer","20240220"
123001,67,"Pay Bill","Cancelled","Customer Pay Bill","20240220"
2642,14,"Pay Bill","Cancelled","Customer Pay Bill Incentive Account","20240220"
207694,44,"Pay Bill","Cancelled","OTC Pay Bill","20240220"
762450,114,"Pay Bill","Completed","Customer Pay Bill","20240220"
3672500,641,"Pay Bill","Completed","OTC Pay Bill","20240220"
199200,2,"Pay Bill","Completed","UNITEL Payments Buy in Shop","20240220"
1382182,25,"Pay Bill","Completed","UNITEL Payments RSA","20240220"
1637137,106,"Pay Bill","Declined","Customer Pay Bill","20240220"
30277,32,"Pay Bill","Declined","Customer Pay Bill Incentive Account","20240220"
5900,1,"Pay Bill","Declined","OTC Pay Bill","20240220"
150,1,"Pay Merchant","Cancelled","Pay Taxi","20240220"
48,1,"Pay Merchant","Cancelled","Pay Taxi Incentive Account","20240220"
